memo,ID,lat,lng,type
,576,35.888728,128.60921,2
,577,35.888736,128.609225,2
,578,35.888747,128.60924,2
B41/,579,35.888337,128.607416,2
,580,35.888351,128.607491,2
,581,35.888365,128.607566,2
,582,35.888379,128.607641,2
,583,35.888393,128.607716,2
,584,35.888407,128.607791,2
,585,35.888421,128.607866,2
,586,35.888435,128.607941,2
,587,35.888449,128.608016,2
,588,35.888463,128.608091,2
,589,35.888477,128.608166,2
,590,35.888491,128.608241,2
,591,35.888505,128.608316,2
,592,35.888519,128.608391,2
,593,35.888533,128.608466,2
,594,35.888547,128.608541,2
,595,35.888561,128.608616,2
,596,35.888575,128.608691,2
,597,35.888589,128.608766,2
,598,35.888603,128.608841,2
,599,35.888617,128.608916,2
,600,35.888631,128.608991,2
,601,35.888645,128.609066,2
,602,35.888659,128.609141,2
,603,35.888673,128.609186,2
,604,35.888686,128.6092,2
,605,35.888695,128.609204,2
,606,35.888702,128.609206,2
B42,607,35.888842,128.609615,2
,608,35.88883,128.609691,2
,609,35.888818,128.609767,2
,610,35.888806,128.609843,2
,611,35.888794,128.609919,2
,612,35.888782,128.609995,2
,613,35.88877,128.610071,2
,614,35.888758,128.610147,2
,615,35.888746,128.610223,2
,616,35.888734,128.610299,2
,617,35.888722,128.610375,2
,618,35.88871,128.610451,2
,619,35.888698,128.610527,2
,620,35.888686,128.610603,2
,621,35.888674,128.610679,2
,622,35.888662,128.610755,2
,623,35.88865,128.610831,2
,624,35.888638,128.610907,2
,625,35.888626,128.610983,2
,626,35.888614,128.611059,2
,627,35.888602,128.611135,2
,628,35.88859,128.611211,2
,629,35.888578,128.611287,2
,630,35.888585,128.611379,2
,631,35.888611,128.611472,2
B42/,632,35.888808,128.609745,2
,633,35.888796,128.609821,2
,634,35.888784,128.609897,2
,635,35.888772,128.609973,2
,636,35.88876,128.610049,2
,637,35.888748,128.610125,2
,638,35.888736,128.610201,2
,639,35.888724,128.610277,2
,640,35.888712,128.610353,2
,641,35.8887,128.610429,2
,642,35.888688,128.610505,2
,643,35.888676,128.610581,2
,644,35.888664,128.610657,2
,645,35.888652,128.610733,2
,646,35.88864,128.610809,2
,647,35.888628,128.610885,2
,648,35.888616,128.610961,2
,649,35.888604,128.611037,2
,650,35.888592,128.611113,2
,651,35.88858,128.611189,2
,652,35.888585,128.611248,2
,653,35.888588,128.611313,2
,654,35.888594,128.611372,2
,655,35.888591,128.61143,2
,656,35.888581,128.611482,2
B43,657,35.888549,128.611759,2
,658,35.888493,128.611857,2
,659,35.888437,128.611955,2
,660,35.888381,128.612053,2
,661,35.888325,128.612151,2
,662,35.888269,128.612249,2
,663,35.888213,128.612347,2
,664,35.888157,128.612445,2
,665,35.888101,128.612543,2
,666,35.888045,128.612641,2
,667,35.887989,128.612739,2
,668,35.887933,128.612837,2
,669,35.887877,128.612935,2
,670,35.887821,128.613033,2
,671,35.887765,128.613131,2
,672,35.887709,128.613229,2
,673,35.887653,128.613327,2
,674,35.887597,128.613425,2
,675,35.887541,128.613523,2
,676,35.887485,128.613621,2
,677,35.887429,128.613719,2
,678,35.887373,128.613817,2
,679,35.887317,128.613875,2
,680,35.887265,128.613907,2
,681,35.887223,128.61394,2
,682,35.88721,128.613962,2
,683,35.887198,128.613972,2
,684,35.88719,128.613982,2
B43/,685,35.888497,128.61176,2
,686,35.888441,128.611857,2
,687,35.888385,128.611954,2
,688,35.888329,128.612051,2
,689,35.888273,128.612148,2
,690,35.888217,128.612245,2
,691,35.888161,128.612342,2
,692,35.888105,128.612439,2
,693,35.888049,128.612536,2
,694,35.887993,128.612633,2
,695,35.887937,128.61273,2
,696,35.887881,128.612827,2
,697,35.887825,128.612924,2
,698,35.887769,128.613021,2
,699,35.887713,128.613118,2
,700,35.887657,128.613215,2
,701,35.887601,128.613312,2
,702,35.887545,128.613409,2
,703,35.887489,128.613506,2
,704,35.887433,128.613603,2
,705,35.887377,128.6137,2
,706,35.887321,128.613767,2
,707,35.887265,128.613814,2
,708,35.887243,128.613836,2
,709,35.887232,128.613847,2
,710,35.887228,128.613855,2
B44,711,35.887107,128.614057,2
,712,35.887035,128.614077,2
,713,35.886963,128.614097,2
,714,35.886891,128.614117,2
,715,35.886819,128.614137,2
,716,35.886747,128.614157,2
,717,35.886675,128.614177,2
,718,35.886621,128.614228,2
,719,35.886567,128.61428,2
B44/,720,35.887078,128.614032,2
,721,35.887015,128.614056,2
,722,35.886952,128.61408,2
,723,35.886889,128.614104,2
,724,35.886826,128.614128,2
,725,35.886763,128.614152,2
,726,35.886716,128.614184,2
,727,35.88667,128.614217,2
B45,728,35.886486,128.61429,2
,729,35.886428,128.61429,2
,730,35.88637,128.61429,2
,731,35.886312,128.61429,2
,732,35.886254,128.61429,2
,733,35.886196,128.61429,2
,734,35.886138,128.61429,2
,735,35.88608,128.61429,2
,736,35.886022,128.61429,2
,737,35.885964,128.61429,2
,738,35.885918,128.614291,2
,739,35.885773,128.614291,2
B45/,740,35.886504,128.61425,2
,741,35.886446,128.614247,2
,742,35.886388,128.614244,2
,743,35.88633,128.614241,2
,744,35.886272,128.614238,2
,745,35.886214,128.614235,2
,746,35.886156,128.614232,2
,747,35.886098,128.614229,2
,748,35.88604,128.614226,2
,749,35.885982,128.614223,2
,750,35.885937,128.614242,2
,751,35.885791,128.614241,2
B51,752,35.887531,128.607495,2
,753,35.887495,128.6075,2
,754,35.887459,128.607505,2
,755,35.887423,128.607511,2
,756,35.887341,128.607526,2
,757,35.88722,128.607541,2
B52,758,35.887151,128.607576,2
,759,35.887151,128.607642,2
,760,35.88715,128.607708,2
,761,35.88715,128.607774,2
,762,35.887149,128.607833,2
C11,763,35.888561,128.604176,3
,764,35.888583,128.604314,3
,765,35.888606,128.604452,3
,766,35.888628,128.60459,3
,767,35.88865,128.604728,3
,768,35.888672,128.604866,3
,769,35.888694,128.605004,3
,770,35.888716,128.605142,3
,771,35.888774,128.605246,3
,772,35.888928,128.605351,3
C11/,773,35.888513,128.604195,3
,774,35.888534,128.60433,3
,775,35.888555,128.604465,3
,776,35.888576,128.6046,3
,777,35.888597,128.604735,3
,778,35.888618,128.60487,3
,779,35.888639,128.605005,3
,780,35.88866,128.60514,3
,781,35.888716,128.605256,3
,782,35.888872,128.605367,3
C12,783,35.888961,128.605528,3
,784,35.888959,128.605691,3
,785,35.888957,128.605854,3
,786,35.888955,128.606017,3
C12/,787,35.888928,128.60552,3
,788,35.888923,128.605663,3
,789,35.888918,128.605806,3
,790,35.888912,128.605949,3
C13,791,35.88898,128.60599,3
,792,35.889006,128.606163,3
,793,35.889033,128.606336,3
,794,35.88906,128.606509,3
,795,35.889086,128.606682,3
,796,35.889113,128.606855,3
,797,35.889139,128.607028,3
,798,35.889166,128.607201,3
,799,35.889193,128.607374,3
,800,35.889219,128.607547,3
,801,35.889246,128.60772,3
,802,35.889272,128.607893,3
,803,35.889299,128.608066,3
,804,35.889326,128.608239,3
,805,35.889352,128.608412,3
,806,35.889379,128.608585,3
,807,35.889405,128.608758,3
,808,35.889432,128.608931,3
,809,35.889459,128.609104,3
,810,35.889485,128.609236,3
,811,35.889511,128.609259,3
C13/,812,35.888926,128.606065,3
,813,35.888952,128.606236,3
,814,35.888978,128.606407,3
,815,35.889004,128.606578,3
,816,35.88903,128.606749,3
,817,35.889056,128.60692,3
,818,35.889082,128.607091,3
,819,35.889108,128.607262,3
,820,35.889134,128.607433,3
,821,35.88916,128.607604,3
,822,35.889186,128.607775,3
,823,35.889212,128.607946,3
,824,35.889238,128.608117,3
,825,35.889264,128.608288,3
,826,35.88929,128.608459,3
,827,35.889316,128.60863,3
,828,35.889342,128.608801,3
,829,35.889368,128.608972,3
,830,35.889394,128.609143,3
,831,35.889402,128.609251,3
C14,832,35.889499,128.609727,3
,833,35.88948,128.609904,3
,834,35.88946,128.610081,3
,835,35.889441,128.610258,3
,836,35.889421,128.610435,3
,837,35.889402,128.610612,3
,838,35.889382,128.610789,3
,839,35.889363,128.610966,3
,840,35.889343,128.611143,3
,841,35.889324,128.61132,3
,842,35.889304,128.611497,3
,843,35.889269,128.61154,3
C14/,844,35.889395,128.609684,3
,845,35.889377,128.609859,3
,846,35.889359,128.610034,3
,847,35.889341,128.610209,3
,848,35.889323,128.610384,3
,849,35.889305,128.610559,3
,850,35.889287,128.610734,3
,851,35.889269,128.610909,3
,852,35.889251,128.611084,3
,853,35.889233,128.611259,3
,854,35.889215,128.611434,3
,855,35.889199,128.61146,3
C21,856,35.888761,128.612654,3
,857,35.888678,128.612757,3
,858,35.888595,128.61286,3
,859,35.888512,128.612963,3
,860,35.888429,128.613066,3
,861,35.888346,128.613169,3
,862,35.888257,128.613289,3
C21/,863,35.888701,128.612658,3
,864,35.888622,128.612758,3
,865,35.888543,128.612858,3
,866,35.888464,128.612958,3
,867,35.888385,128.613058,3
,868,35.888306,128.613158,3
,869,35.888239,128.613254,3
C22,870,35.888205,128.613363,3
,871,35.888112,128.613523,3
,872,35.888019,128.613684,3
,873,35.887926,128.613844,3
,874,35.887833,128.614004,3
,875,35.88774,128.614164,3
,876,35.887647,128.614324,3
,877,35.887554,128.614484,3
,878,35.887461,128.614644,3
,879,35.887368,128.614804,3
,880,35.887275,128.614964,3
,881,35.887182,128.615091,3
,882,35.887174,128.615093,3
,883,35.887156,128.615089,3
,884,35.887119,128.615091,3
C22/,885,35.88821,128.613299,3
,886,35.888117,128.613465,3
,887,35.888024,128.613631,3
,888,35.887931,128.613797,3
,889,35.887838,128.613963,3
,890,35.887745,128.614129,3
,891,35.887652,128.614295,3
,892,35.887559,128.614461,3
,893,35.887466,128.614627,3
,894,35.887373,128.614793,3
,895,35.88728,128.614959,3
,896,35.887187,128.615025,3
,897,35.887162,128.61505,3
,898,35.88714,128.61507,3
,899,35.887118,128.61508,3
,900,35.887089,128.615085,3
C23,901,35.887025,128.615231,3
,902,35.886936,128.61533,3
,903,35.886846,128.615429,3
C23/,904,35.886959,128.61514,3
,905,35.886868,128.615239,3
,906,35.886777,128.615339,3
C24,907,35.886624,128.615364,3
,908,35.886539,128.615316,3
,909,35.886454,128.615268,3
,910,35.886369,128.61522,3
,911,35.886284,128.615172,3
,912,35.885929,128.615121,3
C24/,913,35.886611,128.615417,3
,914,35.886495,128.615373,3
,915,35.886379,128.615329,3
,916,35.886263,128.615285,3
,917,35.886147,128.615221,3
