id,NUMPOINTS,lon,lat,grid_size_m
108685,0.0,128.61667830071917,35.89206160801404,100
108686,0.0,128.6166656414002,35.891160169004046,100
108687,0.0,128.61665298264342,35.8902587298546,100
108688,7.0,128.61664032444884,35.88935729056569,100
108689,29.0,128.61662766681644,35.88845585113733,100
108690,21.0,128.6166150097461,35.88755441156951,100
108691,19.0,128.61660235323794,35.88665297186223,100
108692,0.0,128.61658969729183,35.88575153201551,100
108693,0.0,128.6165770419078,35.884850092029346,100
108694,14.0,128.61656438708573,35.88394865190373,100
108695,10.0,128.61655173282577,35.88304721163867,100
108696,7.0,128.61653907912768,35.88214577123416,100
108697,8.0,128.61652642599157,35.88124433069021,100
108698,0.0,128.61651377341744,35.88034289000684,100
108699,0.0,128.61650112140515,35.879441449184,100
109142,0.0,128.61779879163447,35.89295274024297,100
109143,0.0,128.6177861192002,35.89205130171178,100
109144,0.0,128.61777344732874,35.89114986304112,100
109145,7.0,128.61776077602,35.890248424231,100
109146,31.0,128.61774810527402,35.88934698528141,100
109147,0.0,128.61773543509076,35.888445546192365,100
109148,4.0,128.61772276547018,35.88754410696385,100
109149,17.0,128.61771009641225,35.88664266759589,100
109150,0.0,128.61769742791697,35.88574122808846,100
109151,0.0,128.61768475998431,35.88483978844157,100
109152,0.0,128.61767209261427,35.883938348655235,100
109153,0.0,128.61765942580672,35.883036908729444,100
109154,18.0,128.61764675956175,35.882135468664195,100
109155,1.0,128.61763409387927,35.88123402845951,100
109156,0.0,128.6176214287593,35.88033258811539,100
109157,0.0,128.61760876420178,35.879431147631784,100
109600,0.0,128.61890662210575,35.892942423385406,100
109601,0.0,128.61889393711843,35.892040985193894,100
109602,0.0,128.61888125269448,35.8911395468629,100
109603,35.0,128.61886856883388,35.890238108392445,100
109604,0.0,128.61885588553648,35.88933666978252,100
109605,0.0,128.61884320280242,35.88843523103312,100
109606,0.0,128.61883052063155,35.887533792144254,100
109607,34.0,128.61881783902396,35.88663235311593,100
109608,0.0,128.61880515797952,35.88573091394813,100
109609,16.0,128.61879247749832,35.88482947464087,100
109610,2.0,128.61877979758017,35.883928035194145,100
109611,0.0,128.61876711822524,35.88302659560796,100
109612,17.0,128.61875443943333,35.882125155882306,100
109613,17.0,128.61874176120452,35.88122371601722,100
